"canonicalName","EdgeBetweenness","frequency","interaction","inverse distance","name","selected","shared interaction","shared name"
"tdc-1_n3419 (pp) unc-127_hs13","169.94165146","0.49","pp","0.11824934","tdc-1_n3419 (pp) unc-127_hs13","false","pp","tdc-1_n3419 (pp) unc-127_hs13"
"tdc-1_n3419 (pp) tyra-3_ok325","313.96412031","0.54","pp","0.151150138","tdc-1_n3419 (pp) tyra-3_ok325","false","pp","tdc-1_n3419 (pp) tyra-3_ok325"
"tdc-1_n3419 (pp) tyra-2_tm1846","201.97974469","0.41","pp","0.125431697","tdc-1_n3419 (pp) tyra-2_tm1846","false","pp","tdc-1_n3419 (pp) tyra-2_tm1846"
"tdc-1_n3419 (pp) trpa-2_ok3189","190.06524166","0.46","pp","0.151254109","tdc-1_n3419 (pp) trpa-2_ok3189","false","pp","tdc-1_n3419 (pp) trpa-2_ok3189"
"tdc-1_n3419 (pp) trpa-1_ok999","203.18212631","0.52","pp","0.128026968","tdc-1_n3419 (pp) trpa-1_ok999","false","pp","tdc-1_n3419 (pp) trpa-1_ok999"
"tdc-1_n3419 (pp) trp-4_sy695","2314.49058667","0.43","pp","0.082016257","tdc-1_n3419 (pp) trp-4_sy695","false","pp","tdc-1_n3419 (pp) trp-4_sy695"
"tdc-1_n3419 (pp) tom-1_ok285","429.18387624","0.41","pp","0.122667313","tdc-1_n3419 (pp) tom-1_ok285","false","pp","tdc-1_n3419 (pp) tom-1_ok285"
"tag-336_ok1477 (pp) unc-105_ok1432","10.39380919","0.45","pp","0.147780067","tag-336_ok1477 (pp) unc-105_ok1432","false","pp","tag-336_ok1477 (pp) unc-105_ok1432"
"snf-7_ok482 (pp) unc-105_ok1432","141.19251626","0.56","pp","0.159764386","snf-7_ok482 (pp) unc-105_ok1432","false","pp","snf-7_ok482 (pp) unc-105_ok1432"
"snf-7_ok482 (pp) tag-336_ok1477","41.1323287","0.6","pp","0.156743622","snf-7_ok482 (pp) tag-336_ok1477","false","pp","snf-7_ok482 (pp) tag-336_ok1477"
